Repository,Are All Dependencies Pinned,Time Elapsed (s),Repo URL
PyGithub/PyGithub,False,0.7797539234161377,https://github.com/PyGithub/PyGithub
Mansimran7/ASE_Group12_Hws,False,0.4718630313873291,https://github.com/Mansimran7/ASE_Group12_Hws
yangshun/tech-interview-handbook,False,1.2691619396209717,https://github.com/yangshun/tech-interview-handbook
21epub/pro-components,False,0.9570817947387695,https://github.com/21epub/pro-components
wetrial/wetrials,False,1.0924038887023926,https://github.com/wetrial/wetrials
minhaclarodev-global/amplify-js,False,0.9272119998931885,https://github.com/minhaclarodev-global/amplify-js
bkkr-team/bkkr-choices,True,0.708690881729126,https://github.com/bkkr-team/bkkr-choices
SteveLin100132/-wisrtoni40-confluent-schema,True,0.7413311004638672,https://github.com/SteveLin100132/-wisrtoni40-confluent-schema
image-component/react-image-shadow,False,1.0124402046203613,https://github.com/image-component/react-image-shadow
wetrial/wetrials,False,0.9729058742523193,https://github.com/wetrial/wetrials
AymanZahran/ProjenTest,True,0.728858232498169,https://github.com/AymanZahran/ProjenTest
aruresto/thfinder,True,0.9717988967895508,https://github.com/aruresto/thfinder
SteveLin100132/wistroni40-bnft,True,0.7660617828369141,https://github.com/SteveLin100132/wistroni40-bnft
wetrial/wetrials,False,0.94106125831604,https://github.com/wetrial/wetrials
wifi-tally/wifi-tally,False,0.6767468452453613,https://github.com/wifi-tally/wifi-tally
SellerSpot/webpack-run-scripts-custom-plugin,True,0.6751701831817627,https://github.com/SellerSpot/webpack-run-scripts-custom-plugin
Muniaswari/react-formcreator,True,0.6649148464202881,https://github.com/Muniaswari/react-formcreator
image-component/react-image-dangling,False,0.992790937423706,https://github.com/image-component/react-image-dangling
bijujoseph/tryout-lib100,True,0.6783840656280518,https://github.com/bijujoseph/tryout-lib100
christianacca/static-web-apps-auth,True,0.8660130500793457,https://github.com/christianacca/static-web-apps-auth
the-holocron/starkiller,True,0.7460529804229736,https://github.com/the-holocron/starkiller
askirmas/git-hooks-wrapper,True,0.6220798492431641,https://github.com/askirmas/git-hooks-wrapper
esatterwhite/multi-release,False,0.8622760772705078,https://github.com/esatterwhite/multi-release
image-component/react-image-follow,False,1.0311031341552734,https://github.com/image-component/react-image-follow
bluelovers/cheerio-create-text-node,False,1.288862943649292,https://github.com/bluelovers/cheerio-create-text-node
the-holocron/sledgehammer,True,1.2498321533203125,https://github.com/the-holocron/sledgehammer
appcelerator/appc-daemon,False,1.1783690452575684,https://github.com/appcelerator/appc-daemon
the-holocron/animate,True,0.9319460391998291,https://github.com/the-holocron/animate
the-holocron/ahsoka,True,0.8492710590362549,https://github.com/the-holocron/ahsoka
schuchertmanagementberatung/react-dnd,False,1.2441439628601074,https://github.com/schuchertmanagementberatung/react-dnd
